Common name,Entrez ID,Gene Name,Prediction,Sorted Category
kduD,947323,2-deoxy-D-gluconate 3-dehydrogenase,,Down Regulated
yqeF,947324,Probable acetyl-CoA acetyltransferase,,Temporarly Up Regulated
ymdC,947321,Uncharacterized protein ymdC,[],Temporarly Up Regulated
macA,947322,Macrolide-specific efflux protein macA,,Ambiguous/Unsorted
iraP,947709,Anti-adapter protein iraP,,Temporarly Up Regulated
ygeV,947320,Uncharacterized sigma-54-dependent transcriptional regulator ygeV,"['Signal transduction mechanisms', ' Genetic unit regulated', 'two component signal transduction system  phosphorelay ', 'regulation of transcription  DNA dependent', 'phosphorylation']",Up Regulated
dusB,947707,tRNA-dihydrouridine synthase B,,Temporarly Up Regulated
prmA,947708,Ribosomal protein L11 methyltransferase,,Ambiguous/Unsorted
artP,945489,Arginine transport ATP-binding protein artP,,Temporarly Down Regulated
potF,945480,Putrescine-binding periplasmic protein,,Ambiguous/Unsorted
gmr,945868,Protein gmr,,Temporarly Up Regulated
yciT,945869,Uncharacterized HTH-type transcriptional regulator yciT,,Ambiguous/Unsorted
rimK,945484,Ribosomal protein S6 modification protein,,Ambiguous/Unsorted
csrD,947702,Uncharacterized protein yhdA,,Temporarly Up Regulated
ybjN,945482,Uncharacterized protein ybjN,"[' Energy metabolism  carbon ', 'electron transport', 'translation']",Down Regulated
murA,947703,UDP-N-acetylglucosamine 1-carboxyvinyltransferase,,Ambiguous/Unsorted
nfsA,945483,Oxygen-insensitive NADPH nitroreductase,,Ambiguous/Unsorted
sapA,945873,Peptide transport periplasmic protein sapA,,Up Regulated
ycjF,945878,UPF0283 membrane protein ycjF,,Temporarly Down Regulated
prr,945876,Gamma-aminobutyraldehyde dehydrogenase,,Up Regulated
ycjW,945875,Uncharacterized HTH-type transcriptional regulator ycjW,"['Transcription', ' RNA related', ' Type of regulation', ' Genetic unit regulated', 'transcription', 'regulation of transcription  DNA dependent']",Ambiguous/Unsorted
potG,945476,Putrescine transport ATP-binding protein potG,,Ambiguous/Unsorted
grxA,945479,Glutaredoxin-1,,Ambiguous/Unsorted
tyrR,945879,Transcriptional regulatory protein tyrR,,Ambiguous/Unsorted
ybjI,945470,Phosphatase ybjI,,Down Regulated
ihfA,945472,Integration host factor subunit alpha,,Ambiguous/Unsorted
ybjL,945474,Putative transport protein ybjL,,Ambiguous/Unsorted
puuD,945882,Gamma-glutamyl-gamma-aminobutyrate hydrolase,,Ambiguous/Unsorted
rppH,947300,RNA pyrophosphohydrolase,,Temporarly Up Regulated
pspA,945887,Phage shock protein A,,Down Regulated
puuR,945886,HTH-type transcriptional regulator puuR,,Up Regulated
ompG,945889,Outer membrane protein G,,Ambiguous/Unsorted
ygdR,947304,Uncharacterized lipoprotein ygdR,"['Amino acid transport and metabolism', ' Building block biosynthesis', 'amino acid metabolic process']",Temporarly Up Regulated
lgt,947303,Prolipoprotein diacylglyceryl transferase,,Ambiguous/Unsorted
yfhM,947302,Uncharacterized lipoprotein yfhM,[],Up Regulated
rhmD,945881,L-rhamnonate dehydratase,,Ambiguous/Unsorted
yfaW,945881,L-rhamnonate dehydratase,,Ambiguous/Unsorted
tas,947306,Protein tas,,Temporarly Up Regulated
ascG,947305,HTH-type transcriptional regulator ascG,,Ambiguous/Unsorted
acrD,945464,Probable aminoglycoside efflux pump,,Ambiguous/Unsorted
rimO,945465,Ribosomal protein S12 methylthiotransferase rimO,,Down Regulated
yliE,945462,Uncharacterized protein yliE,"['Signal transduction mechanisms', ' Type of regulation', 'two component signal transduction system  phosphorelay ', 'transcription', 'regulation of transcription  DNA dependent']",Up Regulated
rssB,945855,Protein hnr,,Temporarly Down Regulated
yciO,945854,Uncharacterized protein yciO,[],Ambiguous/Unsorted
Ogt,945853,Methylated-DNA--protein-cysteine methyltransferase,,Down Regulated
add,945851,Adenosine deaminase,,Ambiguous/Unsorted
gsiA,945457,Glutathione import ATP-binding protein gsiA,,Down Regulated
gsiB,945459,Glutathione-binding protein gsiB,,Ambiguous/Unsorted
deoR,945453,Deoxyribose operon repressor,,Down Regulated
moeA,945454,Molybdopterin biosynthesis protein moeA,,Ambiguous/Unsorted
dacC,945455,D-alanyl-D-alanine carboxypeptidase dacC,,Ambiguous/Unsorted
folC,945451,Bifunctional protein folC,,Ambiguous/Unsorted
moeB,945452,Molybdopterin biosynthesis protein moeB,,Temporarly Down Regulated
yciV,945857,Protein trpH,,Down Regulated
yciW,945859,Uncharacterized protein yciW,['Lipid transport and metabolism'],Down Regulated
tktB,945865,Transketolase 2,,Up Regulated
rnb,945864,Exoribonuclease 2,,Temporarly Down Regulated
osmB,945866,Osmotically-inducible lipoprotein B,,Up Regulated
ydfI,945861,Uncharacterized oxidoreductase ydfI,[' Carbon compound utilization'],Up Regulated
yciN,945860,Protein yciN,,Up Regulated
dapF,948364,Diaminopimelate epimerase,,Down Regulated
ybcJ,945158,Uncharacterized protein ybcJ,[],Ambiguous/Unsorted
yihN,948365,Inner membrane protein yihN,,Ambiguous/Unsorted
glnL,948360,Nitrogen regulation protein NR(II); Sensor protein,,Down Regulated
proX,947165,Glycine betaine-binding periplasmic protein,,Temporarly Up Regulated
glnG,948361,Nitrogen regulation protein NR(I),,Temporarly Up Regulated
emrA,947166,Multidrug resistance protein A,,Down Regulated
hemN,948362,Oxygen-independent coproporphyrinogen-III oxidase,,Down Regulated
yihI,948363,UPF0241 protein yihI,,Ambiguous/Unsorted
luxS,947168,S-ribosylhomocysteine lyase,,Ambiguous/Unsorted
allC,945150,Allantoate amidohydrolase,,Down Regulated
rfbA,945154,Glucose-1-phosphate thymidylyltransferase; Glucose-1-phosphate thymidylyltransferase 1,,Down Regulated
yihL,948368,Uncharacterized HTH-type transcriptional regulator yihL,"['Amino acid transport and metabolism', ' Carbon compound utilization', ' Central intermediary metabolism', ' Primary Active Transporters', 'metabolic process']",Down Regulated
typA,948369,GTP-binding protein typA/BipA; GTP-binding protein typA/bipA,,Ambiguous/Unsorted
rplT,945152,50S ribosomal protein L20,,Temporarly Up Regulated
ytfE,948724,Regulator of cell morphogenesis and NO signaling,,Ambiguous/Unsorted
malY,945937,Protein malY,,Up Regulated
Cyca,948725,D-serine/D-alanine/glycine transporter,,Down Regulated
ytfB,948727,Uncharacterized protein ytfB,"['Replication  recombination and repair', 'DNA recombination', 'DNA integration']",Up Regulated
rplI,948720,50S ribosomal protein L9,,Ambiguous/Unsorted
rpsR,948721,30S ribosomal protein S18,,Down Regulated
mhpR,945938,Mhp operon transcriptional activator,,Temporarly Up Regulated
pbpC,947152,Penicillin-binding protein 1C,,Temporarly Down Regulated
dtd,948378,D-tyrosyl-tRNA(Tyr) deacylase,,Down Regulated
dbpA,947153,ATP-independent RNA helicase dbpA,,Down Regulated
yqcA,947151,Uncharacterized protein yqcA,[],Ambiguous/Unsorted
ygaM,947157,Uncharacterized protein ygaM,['Cell wall membrane envelope biogenesis'],Up Regulated
prpD,945931,2-methylcitrate dehydratase,,Ambiguous/Unsorted
cpdB,948729,ECs5191; ECP_4467; ECSE_4519; EcSMS35_4692; ECUMN_4750; Z5824; EcolC_3793; ECS88_4807; E2348C_4544; EC55989_4773; ECDH10B_4408; ECED1_5072; ECH74115_5730; ECIAI1_4447; b4213; ECIAI39_4685; UTI89_C4822; EcHS_A4467; APECO1_2173; EcE24377A_4783,,Up Regulated
yihP,948371,Inner membrane symporter yihP,,Down Regulated
nrdE,947155,Ribonucleoside-diphosphate reductase; Ribonucleoside-diphosphate reductase 2 subunit alpha,,Temporarly Up Regulated
cysQ,948728,"3'(2'),5'-bisphosphate nucleotidase cysQ",,Up Regulated
sfmD,945160,Outer membrane usher protein sfmD,,Ambiguous/Unsorted
yegI,947159,Uncharacterized protein yegI,[],Ambiguous/Unsorted
macB,945164,Macrolide export ATP-binding/permease protein macB,,Up Regulated
glnA,948370,Glutamine synthetase,,Temporarly Down Regulated
ytfJ,948737,Uncharacterized protein ytfJ,"['Energy production and conversion', 'Secondary metabolites biosynthesis  transport and catabolism']",Temporarly Up Regulated
ytfL,948735,UPF0053 inner membrane protein ytfL,,Temporarly Down Regulated
ytfM,948733,Uncharacterized protein ytfM,[],Up Regulated
msrA,948734,Peptide methionine sulfoxide reductase msrA,,Ambiguous/Unsorted
qorB,948731,Uncharacterized oxidoreductase ytfG,,Up Regulated
fdhE,948384,Protein fdhE,,Down Regulated
ydjA,945964,Putative NAD(P)H nitroreductase ydjA,,Ambiguous/Unsorted
yddB,945961,Uncharacterized protein yddB,"['Cell wall membrane envelope biogenesis', 'translation', 'ion transport']",Up Regulated
MltB,947184,Membrane-bound lytic murein transglycosylase B,,Down Regulated
allB,945134,Allantoinase,,Down Regulated
tus,945135,DNA replication terminus site-binding protein,,Down Regulated
norR,947186,Anaerobic nitric oxide reductase transcription regulator norR,,Temporarly Down Regulated
kefA,945132,Potassium efflux system kefA,,Ambiguous/Unsorted
pmrD,945130,Signal transduction protein pmrD,,Temporarly Up Regulated
ytfN,948742,Uncharacterized protein ytfN,[],Down Regulated
fhlA,947181,Formate hydrogenlyase transcriptional activator,,Ambiguous/Unsorted
ytfQ,948746,ABC transporter periplasmic-binding protein ytfQ,,Up Regulated
ppa,948748,Inorganic pyrophosphatase,,Ambiguous/Unsorted
ydeN,945957,Uncharacterized sulfatase ydeN,"['Signal transduction mechanisms', ' Metabolism of other compounds']",Up Regulated
yihW,948381,Uncharacterized HTH-type transcriptional regulator yihW,"['Transcription', ' RNA related', ' Type of regulation', ' Genetic unit regulated', 'transcription', 'regulation of transcription  DNA dependent']",Temporarly Down Regulated
yihX,948380,Phosphatase yihX,,Up Regulated
fdoH,948395,Formate dehydrogenase-O iron-sulfur subunit,,Down Regulated
ylbA,945149,Uncharacterized protein ylbA,"[' Carbon compound utilization', 'proteolysis']",Ambiguous/Unsorted
ydaL,945953,Uncharacterized protein ydaL,[],Up Regulated
clcB,947179,Voltage-gated ClC-type chloride channel clcB,,Temporarly Down Regulated
csrA,947176,Carbon storage regulator,,Temporarly Up Regulated
fdhD,948393,Protein fdhD,,Ambiguous/Unsorted
fdoG,948394,Formate dehydrogenase-O major subunit,,Down Regulated
dgt,947177,Deoxyguanosinetriphosphate triphosphohydrolase,,Down Regulated
qseC,947174,Sensor protein qseC; Sensor protein,,Down Regulated
xdhC,945148,Xanthine dehydrogenase iron-sulfur-binding subunit,,Ambiguous/Unsorted
mppA,945951,Periplasmic murein peptide-binding protein,,Up Regulated
ThiM,945142,Hydroxyethylthiazole kinase,,Ambiguous/Unsorted
lpxM,945143,Lipid A biosynthesis (KDO)2-(lauroyl)-lipid IVA acyltransferase,,Ambiguous/Unsorted
yniB,945140,Uncharacterized protein yniB,[],Up Regulated
yjgA,948751,UPF0307 protein yjgA,,Up Regulated
nrdD,948755,Anaerobic ribonucleoside-triphosphate reductase,,Temporarly Up Regulated
ydbH,945949,Uncharacterized protein ydbH,[],Down Regulated
ydhV,948756,Uncharacterized protein ydhV,[' Central intermediary metabolism'],Temporarly Up Regulated
fbp,948753,"Fructose-1,6-bisphosphatase class 1",,Ambiguous/Unsorted
yddA,945945,Inner membrane ABC transporter ATP-binding protein yddA,,Ambiguous/Unsorted
uspF,945948,Universal stress protein F,,Up Regulated
fre,948325,NAD(P)H-flavin reductase,,Down Regulated
fadA,948324,3-ketoacyl-CoA thiolase,,Up Regulated
raiA,947129,Ribosome-associated inhibitor A,,Up Regulated
rfaH,948327,Transcriptional activator rfaH,,Ambiguous/Unsorted
ubiD,948326,3-octaprenyl-4-hydroxybenzoate carboxy-lyase,,Down Regulated
tatA,948321,Sec-independent protein translocase protein tatA,,Down Regulated
ysgA,948320,Putative carboxymethylenebutenolidase,,Up Regulated
patA,947120,Putrescine aminotransferase,,Up Regulated
ubiB,948322,Probable ubiquinone biosynthesis protein ubiB,,Down Regulated
nth,947122,Endonuclease III,,Down Regulated
ybbP,945118,Uncharacterized ABC transporter permease ybbP,,Up Regulated
ydgH,945117,Protein ydgH,,Down Regulated
yjgI,948765,Uncharacterized oxidoreductase yjgI,[],Down Regulated
pyrB,948767,Aspartate carbamoyltransferase catalytic chain; Aspartate carbamoyltransferase,,Ambiguous/Unsorted
treR,948760,HTH-type transcriptional regulator treR,,Down Regulated
pyrI,948763,Aspartate carbamoyltransferase regulatory chain,,Down Regulated
treC,948762,Trehalose-6-phosphate hydrolase,,Ambiguous/Unsorted
xdhA,947116,Xanthine dehydrogenase molybdenum-binding subunit,,Ambiguous/Unsorted
yigI,948338,Uncharacterized protein yigI,[],Down Regulated
ybbA,945122,Uncharacterized ABC transporter ATP-binding protein ybbA,,Ambiguous/Unsorted
fadB,948336,Fatty acid oxidation complex subunit alpha,,Up Regulated
pepQ,948335,Xaa-Pro dipeptidase,,Ambiguous/Unsorted
queD,945123,Putative 6-pyruvoyl tetrahydrobiopterin synthase,,Up Regulated
hemG,948331,Protoporphyrinogen oxidase,,Ambiguous/Unsorted
ompW,945128,Outer membrane protein W,,Up Regulated
tesA,945127,Acyl-CoA thioesterase I,,Down Regulated
tabA,948777,Uncharacterized protein yjgK,,Down Regulated
yjgL,948776,Uncharacterized protein yjgL,[' Type of regulation'],Up Regulated
yjgJ,948775,Uncharacterized HTH-type transcriptional regulator yjgJ,"['Cell wall membrane envelope biogenesis', 'Intracellular trafficking  secretion  and vesicular transport', ' Cell division', 'protein transport']",Down Regulated
argI,948774,Ornithine carbamoyltransferase chain I; Ornithine carbamoyltransferase,,Down Regulated
rraB,948773,Uncharacterized protein yjgD,,Up Regulated
yjgM,948772,Uncharacterized N-acetyltransferase yjgM,[],Temporarly Up Regulated
uvrD,948347,DNA helicase II,,Temporarly Down Regulated
rdoA,948346,Protein rdoA,,Temporarly Down Regulated
mobA,948349,Molybdopterin-guanine dinucleotide biosynthesis protein A,,Down Regulated
proV,947148,Glycine betaine/L-proline transport ATP-binding protein proV,,Temporarly Down Regulated
nrdF,947149,Ribonucleoside-diphosphate reductase 2 subunit beta,,Up Regulated
ygaU,947144,Uncharacterized protein ygaU,[],Ambiguous/Unsorted
ygiS,947140,Putative binding protein ygiS,,Up Regulated
allD,948342,Ureidoglycolate dehydrogenase,,Temporarly Down Regulated
holC,948787,DNA polymerase III subunit chi,,Ambiguous/Unsorted
recE,945918,Exodeoxyribonuclease 8,,Temporarly Down Regulated
yccU,949008,Uncharacterized protein yccU,[],Up Regulated
fadE,949007,Acyl-coenzyme A dehydrogenase,,Up Regulated
btuE,945915,Vitamin B12 transport periplasmic protein btuE; Glutathione peroxidase,,Ambiguous/Unsorted
abgT,945912,Aminobenzoyl-glutamate transport protein,,Ambiguous/Unsorted
rpsI,949000,30S ribosomal protein S9,,Down Regulated
yjgN,948784,Inner membrane protein yjgN,,Ambiguous/Unsorted
prfA,949002,Peptide chain release factor 1,,Ambiguous/Unsorted
YigA,948359,Uncharacterized protein yigA,,Temporarly Up Regulated
recR,945100,Recombination protein recR,,Down Regulated
degP,947139,Protease do,,Ambiguous/Unsorted
yihF,948352,Uncharacterized protein yihF,"['Replication  recombination and repair', ' Adaptation to stress']",Down Regulated
corA,948351,Magnesium transport protein corA,,Temporarly Down Regulated
yahE,947134,Uncharacterized protein yahE,[],Temporarly Up Regulated
dnaX,945105,DNA polymerase III subunit tau,,Ambiguous/Unsorted
ydaN,945910,Zinc transport protein zntB,,Ambiguous/Unsorted
ftsK,945102,DNA translocase ftsK,,Down Regulated
polA,948356,DNA polymerase I,,Ambiguous/Unsorted
dps,945101,DNA protection during starvation protein,,Up Regulated
xerC,948355,Tyrosine recombinase xerC,,Temporarly Up Regulated
stpA,947130,DNA-binding protein stpA,,Ambiguous/Unsorted
ybaB,945104,UPF0133 protein ybaB,,Ambiguous/Unsorted
dsbA,948353,Thiol:disulfide interchange protein dsbA,,Up Regulated
ykgG,945906,UPF0707 protein ykgG,,Up Regulated
fnr,945908,Fumarate and nitrate reduction regulatory protein,,Down Regulated
uspE,945904,Universal stress protein E,,Up Regulated
folK,948792,2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase,,Up Regulated
lptF,948795,Lipopolysaccharide export system permease protein lptF,,Down Regulated
yehT,949024,Uncharacterized response regulatory protein yehT,"['transcription', 'regulation of transcription  DNA dependent']",Down Regulated
CARA,949025,Carbamoyl-phosphate synthase small chain,,Ambiguous/Unsorted
yacL,944809,UPF0231 protein yacL,,Up Regulated
yehS,949026,Uncharacterized protein yehS,['Replication  recombination and repair'],Temporarly Up Regulated
idi,949020,Isopentenyl-diphosphate Delta-isomerase,,Ambiguous/Unsorted
ftsL,944803,Cell division protein ftsL,,Down Regulated
fruR,944804,Fructose repressor,,Temporarly Down Regulated
mlrA,949029,HTH-type transcriptional regulator mlrA,,Ambiguous/Unsorted
acpP,944805,Acyl carrier protein,,Down Regulated
maeA,946031,NAD-dependent malic enzyme,,Ambiguous/Unsorted
cfa,944811,Cyclopropane-fatty-acyl-phospholipid synthase,,Temporarly Up Regulated
mraZ,944810,Protein mraZ,,Up Regulated
fdnG,946035,"Formate dehydrogenase, nitrate-inducible, major subunit",,Down Regulated
hyfB,946961,Hydrogenase-4 component B,,Temporarly Up Regulated
ydhF,946960,Oxidoreductase ydhF,,Up Regulated
adhP,946036,"Alcohol dehydrogenase, propanol-preferring",,Up Regulated
ycgK,946963,Uncharacterized protein ycgK,[],Up Regulated
frsA,946039,Esterase frsA,,Ambiguous/Unsorted
sufA,949014,Protein sufA,,Up Regulated
ygfT,949018,Uncharacterized protein ygfT,['electron transport'],Ambiguous/Unsorted
yncH,946024,Uncharacterized protein yncH,[],Ambiguous/Unsorted
ppx,946970,Exopolyphosphatase,,Down Regulated
fucK,946022,L-fuculokinase,,Ambiguous/Unsorted
yfgD,946974,Uncharacterized protein yfgD,[],Ambiguous/Unsorted
yqcC,946027,Uncharacterized protein yqcC,[],Ambiguous/Unsorted
rhsE,946026,ECDH10B_1586; EC55989_0238; b1456,,Down Regulated
ybjX,946025,Uncharacterized protein ybjX,[],Down Regulated
hda,946977,DnaA-homolog protein hda,,Down Regulated
cirA,949042,Colicin I receptor,,Ambiguous/Unsorted
galS,949043,HTH-type transcriptional regulator galS,,Up Regulated
yeiG,949045,S-formylglutathione hydrolase yeiG,,Down Regulated
artQ,949046,Arginine transport system permease protein artQ,,Ambiguous/Unsorted
waaA,949048,3-deoxy-D-manno-octulosonic-acid transferase,,Down Regulated
gltI,946938,Glutamate/aspartate periplasmic-binding protein,,Ambiguous/Unsorted
yeiT,949049,Uncharacterized oxidoreductase yeiT,[' Primary Active Transporters'],Temporarly Up Regulated
pdhR,944827,Pyruvate dehydrogenase complex repressor,,Ambiguous/Unsorted
ftsQ,944823,Cell division protein ftsQ,,Down Regulated
mutT,944824,Mutator mutT protein,,Down Regulated
ydeP,946055,Protein ydeP,,Down Regulated
yadG,944833,Uncharacterized ABC transporter ATP-binding protein yadG,,Ambiguous/Unsorted
gnsb,946054,Protein gnsB,,Temporarly Up Regulated
gadC,946057,Probable glutamate/gamma-aminobutyrate antiporter,,Ambiguous/Unsorted
gcd,944830,Quinoprotein glucose dehydrogenase,,Ambiguous/Unsorted
ygiW,946051,Protein ygiW,,Temporarly Up Regulated
ydeQ,946050,Uncharacterized fimbrial-like protein ydeQ,[],Temporarly Up Regulated
tmcA,946053,Uncharacterized protein ypfI,,Down Regulated
ddpA,946052,"Probable D,D-dipeptide-binding periplasmic protein ddpA",,Up Regulated
PqqL,946059,Probable zinc protease pqqL,,Up Regulated
mglB,949041,D-galactose-binding periplasmic protein,,Up Regulated
rpmB,946941,50S ribosomal protein L28,,Down Regulated
eutD,946940,Ethanolamine utilization protein eutD,,Down Regulated
ubiX,949033,3-octaprenyl-4-hydroxybenzoate carboxy-lyase,,Ambiguous/Unsorted
leuO,949034,Probable HTH-type transcriptional regulator leuO,,Up Regulated
narQ,946948,Nitrate/nitrite sensor protein narQ,,Up Regulated
bcp,946949,Putative peroxiredoxin bcp,,Temporarly Down Regulated
ppiB,949038,Peptidyl-prolyl cis-trans isomerase B; Peptidyl-prolyl cis-trans isomerase,,Up Regulated
thyA,949035,Thymidylate synthase,,Down Regulated
mglA,949036,Galactose/methyl galactoside import ATP-binding protein mglA,,Up Regulated
maeB,946947,NADP-dependent malic enzyme,,Ambiguous/Unsorted
lpxC,944816,UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase,,Ambiguous/Unsorted
Gpt,944817,Xanthine phosphoribosyltransferase,,Ambiguous/Unsorted
murD,944818,UDP-N-acetylmuramoylalanine--D-glutamate ligase,,Ambiguous/Unsorted
mglC,949039,Galactoside transport system permease protein mglC,,Up Regulated
murF,944813,UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase,,Ambiguous/Unsorted
wzzE,944815,Lipopolysaccharide biosynthesis protein wzzE,,Ambiguous/Unsorted
nhaB,944822,Na(+)/H(+) antiporter nhaB,,Down Regulated
osmC,946043,Peroxiredoxin osmC,,Up Regulated
ypfJ,946956,Uncharacterized protein ypfJ,[],Up Regulated
rnhA,946955,Ribonuclease HI; Ribonuclease H,,Down Regulated
yffB,946953,Protein yffB,,Ambiguous/Unsorted
argT,949030,Lysine-arginine-ornithine-binding periplasmic protein,,Up Regulated
gcvR,946950,Glycine cleavage system transcriptional repressor,,Ambiguous/Unsorted
ligT,944848,2'-5'-RNA ligase,,Down Regulated
yadB,944846,Glutamyl-Q tRNA(Asp) synthetase; Insertion element IS150 uncharacterized 14 kDa protein,,Temporarly Up Regulated
uxaC,947599,Uronate isomerase,,Up Regulated
hrpB,944845,ATP-dependent RNA helicase hrpB,,Ambiguous/Unsorted
ycgF,947592,Uncharacterized protein ycgF,"['Signal transduction mechanisms', 'two component signal transduction system  phosphorelay ', 'regulation of transcription  DNA dependent']",Temporarly Up Regulated
ygfK,949068,Uncharacterized protein ygfK,,Temporarly Down Regulated
rna,949065,Ribonuclease I,,Temporarly Down Regulated
fadH,947594,"2,4-dienoyl-CoA reductase [NADPH]",,Up Regulated
coaE,949060,Dephospho-CoA kinase,,Ambiguous/Unsorted
dksA,944850,DnaK suppressor protein,,Up Regulated
ydhQ,944851,Uncharacterized protein ydhQ,"['Translation  ribosomal structure and biogenesis', ' Adaptation to stress', 'translation']",Temporarly Down Regulated
tam,946074,Trans-aconitate 2-methyltransferase,,Up Regulated
HtpX,946076,Probable protease htpX,,Down Regulated
sfsA,944855,Sugar fermentation stimulation protein A,,Up Regulated
rnhB,944852,Ribonuclease HII,,Down Regulated
yneJ,946079,Uncharacterized HTH-type transcriptional regulator yneJ,"['Transcription', ' RNA related', ' Type of regulation', ' Genetic unit regulated', 'transcription', 'regulation of transcription  DNA dependent']",Temporarly Down Regulated
panB,944839,3-methyl-2-oxobutanoate hydroxymethyltransferase,,Down Regulated
lpxB,944838,Lipid-A-disaccharide synthase,,Temporarly Down Regulated
rplU,949057,50S ribosomal protein L21,,Temporarly Up Regulated
lrp,949051,Leucine-responsive regulatory protein,,Ambiguous/Unsorted
cydD,949052,ATP-binding/permease protein cydD,,Ambiguous/Unsorted
HypB,947194,Hydrogenase isoenzymes nickel incorporation protein hypB,,Down Regulated
hipA,946064,Protein hipA,,Temporarly Up Regulated
ygbK,947199,Uncharacterized protein ygbK,['Carbohydrate transport and metabolism'],Down Regulated
yadN,944841,Uncharacterized fimbrial-like protein yadN,[' Building block biosynthesis'],Ambiguous/Unsorted
ydeI,946068,Uncharacterized protein ydeI,"['Signal transduction mechanisms', 'response to stress']",Up Regulated
hipB,946065,HTH-type transcriptional regulator hipB,,Temporarly Up Regulated
ykgC,946092,Probable pyridine nucleotide-disulfide oxidoreductase ykgC,,Ambiguous/Unsorted
ulaG,948705,Probable L-ascorbate-6-phosphate lactonase ulaG,,Temporarly Up Regulated
argP,944867,Chromosome initiation inhibitor,,Down Regulated
mak,949086,Fructokinase,,Up Regulated
symE,949088,Endoribonuclease symE,,Ambiguous/Unsorted
ymdB,946987,UPF0189 protein ymdB,,Up Regulated
xseA,946988,Exodeoxyribonuclease 7 large subunit,,Ambiguous/Unsorted
narP,949081,Nitrate/nitrite response regulator protein narP,,Temporarly Down Regulated
der,946983,GTP-binding protein engA,,Down Regulated
yfgJ,946984,Uncharacterized protein yfgJ,[' Type of regulation'],Down Regulated
yciI,949085,Protein yciI,,Up Regulated
dnaE,944877,DNA polymerase III subunit alpha,,Down Regulated
ispU,944874,Undecaprenyl pyrophosphate synthetase,,Up Regulated
yfgM,946981,UPF0070 protein yfgM,,Ambiguous/Unsorted
yaeR,944875,Uncharacterized protein yaeR,[],Ambiguous/Unsorted
flhE,946094,Flagellar protein flhE,,Down Regulated
glnH,944872,Glutamine-binding periplasmic protein,,Ambiguous/Unsorted
yacF,944873,UPF0289 protein yacF,,Temporarly Down Regulated
prc,946096,Tail-specific protease,,Down Regulated
rseP,944871,Regulator of sigma E protease,,Down Regulated
yneK,946080,Uncharacterized protein yneK,[],Ambiguous/Unsorted
ulaF,948711,L-ribulose-5-phosphate 4-epimerase ulaF,,Temporarly Down Regulated
erpA,944857,Iron-sulfur cluster insertion protein erpA,,Ambiguous/Unsorted
ulaD,948714,3-keto-L-gulonate-6-phosphate decarboxylase ulaD,,Temporarly Down Regulated
fhuA,944856,Ferrichrome-iron receptor,,Up Regulated
yciM,944858,Uncharacterized protein yciM,[],Temporarly Up Regulated
sbcC,949076,Nuclease sbcCD subunit C,,Temporarly Down Regulated
xdhD,949079,Probable hypoxanthine oxidase xdhD,,Ambiguous/Unsorted
iscA,946999,Iron-binding protein iscA,,Ambiguous/Unsorted
hscB,946995,Co-chaperone protein hscB,,Down Regulated
ccmG,949073,Thiol:disulfide interchange protein dsbE,,Temporarly Up Regulated
flgH,946996,Flagellar L-ring protein,,Down Regulated
sseA,946993,3-mercaptopyruvate sulfurtransferase,,Up Regulated
ygfM,949071,Uncharacterized protein ygfM,,Ambiguous/Unsorted
sseB,946994,Protein sseB,,Temporarly Down Regulated
ytjB,946089,Protein smp,,Down Regulated
ulaR,948706,HTH-type transcriptional regulator ulaR,,Up Regulated
ispG,946991,4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase,,Down Regulated
glnD,944863,[Protein-PII] uridylyltransferase,,Down Regulated
yjfP,948707,Esterase yjfP,,Up Regulated
ydfH,946087,Uncharacterized HTH-type transcriptional regulator ydfH,[],Temporarly Up Regulated
ybbL,946990,Uncharacterized ABC transporter ATP-binding protein ybbL,"[' Macromolecules  cellular constituent   biosynthesis', ' Primary Active Transporters', 'DNA repair', 'response to DNA damage stimulus', 'cell cycle', 'SOS response', 'cell division']",Temporarly Up Regulated
tsf,944866,Elongation factor Ts,,Down Regulated
ydfG,946085,NADP-dependent L-serine/L-allo-threonine dehydrogenase ydfG,,Ambiguous/Unsorted
yebR,946086,UPF0067 protein yebR,,Down Regulated
skp,944861,Chaperone protein skp,,Up Regulated
dapD,944862,"2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase",,Down Regulated
caiC,944886,Probable crotonobetaine/carnitine-CoA ligase,,Temporarly Up Regulated
hscA,944885,Chaperone protein hscA,,Temporarly Down Regulated
lpxD,944882,UDP-3-O-[3-hydroxymyristoyl] glucosamine N-acyltransferase,,Ambiguous/Unsorted
kdsB,945539,3-deoxy-manno-octulosonate cytidylyltransferase,,Down Regulated
folM,949096,Dihydrofolate reductase folM,,Temporarly Down Regulated
hupB,949095,DNA-binding protein HU-beta,,Ambiguous/Unsorted
fadJ,949097,Fatty acid oxidation complex subunit alpha,,Up Regulated
ycbC,945546,Uncharacterized protein ycbC,"['regulation of cell shape', 'peptidoglycan biosynthetic process']",Temporarly Up Regulated
mukF,945548,Chromosome partition protein mukF,,Down Regulated
smtA,945547,Protein smtA,,Up Regulated
ycbB,945541,Uncharacterized protein ycbB,['DNA replication'],Temporarly Up Regulated
